Ticker,URL,Company Name
SE,https://www.investing.com/equities/sea-limited-technical,Sea Limited
SHEL,https://www.investing.com/equities/royal-dutch-shell-a-shr-technical,Shell plc
SHOP,https://www.investing.com/equities/shopify-inc-technical,Shopify Inc.
SHW,https://www.investing.com/equities/sherwinwilliams-technical,The Sherwin-Williams Company
SLB,https://www.investing.com/equities/schlumberger-ltd-technical,Schlumberger Limited
SMFG,https://www.investing.com/equities/sumitomo-mitsui-financial-group-technical,Sumitomo Mitsui Financial Group, Inc.
SNOW,https://www.investing.com/equities/snowflake-inc-technical,Snowflake Inc.
SNPS,https://www.investing.com/equities/synopsys-inc-technical,Synopsys, Inc.
SONY,https://www.investing.com/equities/sony-technical,Sony Group Corporation
SPOT,https://www.investing.com/equities/spotify-technology-technical,Spotify Technology S.A.
SSREY,https://www.investing.com/equities/swiss-re-ltd-technical,Swiss Re AG
SU,https://www.investing.com/equities/suncor-energy-inc.-technical,Suncor Energy Inc.
SYK,https://www.investing.com/equities/stryker-technical,Stryker Corporation
T,https://www.investing.com/equities/at-t-technical,AT&T Inc.
TCEHY,https://www.investing.com/equities/tencent-holdings-pk-technical,Tencent Holdings Limited
TCOM,https://www.investing.com/equities/ctrip.com-international-technical,Trip.com Group Limited
TDG,https://www.investing.com/equities/transdigm-group-inc-technical,TransDigm Group Incorporated
TEL,https://www.investing.com/equities/te-connectivity-technical,TE Connectivity plc
TGOPY,https://www.investing.com/equities/3i-adr-technical,3i Group plc
TJX,https://www.investing.com/equities/tjx-co-inc-technical,The TJX Companies, Inc.
TKOMY,https://www.investing.com/equities/tokio-marine-holdings-inc-technical,Tokio Marine Holdings, Inc.
TOELY,https://www.investing.com/equities/tokyo-electron-ltd-pk-technical,Tokyo Electron Limited
TRP,https://www.investing.com/equities/transcanada-corp-technical,TC Energy Corporation
TSLA,https://www.investing.com/equities/tesla-motors-technical,Tesla, Inc.
TSM,https://www.investing.com/equities/taiwan-semicond.manufacturing-co-technical,Taiwan Semiconductor Manufacturing Company Limited
UBER,https://www.investing.com/equities/uber-technologies-inc-technical,Uber Technologies, Inc.
UBS,https://www.investing.com/equities/ubs-group-ag-technical,UBS Group AG
URI,https://www.investing.com/equities/united-rentals-technical,United Rentals, Inc.
USB,https://www.investing.com/equities/us-bancorp-technical,U.S. Bancorp
V,https://www.investing.com/equities/visa-inc-technical,Visa Inc.
VALE,https://www.investing.com/equities/vale-s.a.--americ-technical,Vale S.A.
VLO,https://www.investing.com/equities/valero-energy-technical,Valero Energy Corporation
VLVLY,https://www.investing.com/equities/volvo-adr-technical,AB Volvo (publ)
VRT,https://www.investing.com/equities/gs-acquisition-a-technical,Vertiv Holdings Co
VRTX,https://www.investing.com/equities/vertex-pharm-technical,Vertex Pharmaceuticals Incorporated
VST,https://www.investing.com/equities/vistra-energy-corp-technical,Vistra Corp.
WDAY,https://www.investing.com/equities/workday-inc-technical,Workday, Inc.
WELL,https://www.investing.com/equities/health-care-reit-technical,Welltower Inc.
WM,https://www.investing.com/equities/waste-managemnt-technical,Waste Management, Inc.
WMB,https://www.investing.com/equities/williams-cos-technical,The Williams Companies, Inc.
WMT,https://www.investing.com/equities/wal-mart-stores-technical,Walmart Inc.
XOM,https://www.investing.com/equities/exxon-mobil-technical,Exxon Mobil Corporation
ZTS,https://www.investing.com/equities/zoetis-inc-technical,Zoetis Inc.
